"Project","Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"hazelcast","77bf666fd9c23d8e896d84e6ea0f9df6179b2023","hazelcast-hibernate/hazelcast-hibernate4/src/main/java/com/hazelcast/hibernate/region/HazelcastQueryResultsRegion.java","1","0","0","0","10","35","0"
"netty","591293bfb4f6a48a311d195303ce772fb801ec95","handler/src/main/java/io/netty/handler/ssl/Java7SslParametersUtils.java","1","0","0","0","10","36","0"
"elasticsearch","aea00a62f3825e388e07007d3c8686f93c2d3f8e","core/src/main/java/org/elasticsearch/action/admin/indices/flush/ShardFlushResponse.java","1","0","0","0","10","37","1"
"orientdb","ac6ba2add76a1f3d3aaa40429729ec87cfad1e1b","core/src/main/java/com/orientechnologies/orient/core/index/hashindex/local/cache/WriteGroup.java","1","0","0","0","10","38","1"
"elasticsearch","aea00a62f3825e388e07007d3c8686f93c2d3f8e","core/src/main/java/org/elasticsearch/action/admin/indices/refresh/ShardRefreshRequest.java","1","0","0","0","10","38","1"
"neo4j","0096aa118a7bcf9db9468f625a911b615c3b2691","enterprise/cluster/src/main/java/org/neo4j/cluster/protocol/atomicbroadcast/multipaxos/context/AbstractContextImpl.java","1","0","0","0","100","141","1"
"orientdb","39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/LuceneSpatialPointTest.java","1","0","0","0","105","166","0"
"hazelcast","0b99990c091b2e5235b2c7a72b4550327db4260c","hazelcast-client/src/test/java/com/hazelcast/client/map/ClientMapPartitionLostListenerTest.java","1","0","0","0","108","141","2"
"hazelcast","2e237d2c442305f51cdbea3740548e8bfb4401ac","hazelcast-client/src/test/java/com/hazelcast/client/map/ClientMapPartitionLostListenerTest.java","1","0","0","0","108","141","2"
"netty","afb46b926f9df6f1da91cbd011fa8f43d1566bb8","handler/src/main/java/io/netty/handler/ssl/JdkSslSession.java","1","0","0","0","109","153","0"
"neo4j","cca9e04725e7ae20ba97e57506c0a33d2bdf691c","enterprise/causal-clustering/src/main/java/org/neo4j/causalclustering/core/consensus/roles/Pruning.java","1","0","0","0","11","33","0"
"hazelcast","d2b04ec50716ff04b425207e70e8f35855ddccf5","hazelcast/src/main/java/com/hazelcast/cache/impl/record/CacheDataRecord.java","1","0","0","0","11","35","1"
"elasticsearch","25fd9e26c4fb042d6f6dea14efcd239577bdbbc4","client/sniffer/src/test/java/org/elasticsearch/client/sniff/MockHostsSniffer.java","1","0","0","0","11","37","0"
"elasticsearch","56cc87b7ccd41040d8fafcaf2da3680d96d10839","client/sniffer/src/test/java/org/elasticsearch/client/sniff/MockHostsSniffer.java","1","0","0","0","11","37","0"
"elasticsearch","1424f09c02927d9caada7f6ea45285b411d88d12","modules/lang-painless/src/main/java/org/elasticsearch/painless/Analyzer.java","1","0","0","0","11","38","0"
"orientdb","b43eac5ee4b92c9327f3596c5c1986a6c29e1dfb","core/src/main/java/com/orientechnologies/orient/core/index/hashindex/local/cache/PageGroup.java","1","0","0","0","11","39","0"
"hazelcast","78ae1a75208f6777bfb81fd68b2d62b446f83759","hazelcast-hibernate/hazelcast-hibernate4/src/main/java/com/hazelcast/hibernate/serialization/MarkerWrapper.java","1","0","0","0","11","39","0"
"hazelcast","b3226b60f9e49e2c4e3fd6062478f7f0d1f0ee81","hazelcast-client/src/test/java/com/hazelcast/client/map/ClientMapPartitionLostListenerTest.java","1","0","0","0","110","143","1"
"ceylon-ide-eclipse","bd3ee3c8a906f50b50e041545c19d63e346a9f59","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/builder/ExplodingJavaFileObject.java","1","0","0","0","115","134","0"
"ceylon-ide-eclipse","3b51c69fb24029e45b3f29ea00b9df9d409bd970","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/builder/ExplodingJavaFileObject.java","1","0","0","0","115","134","0"
"hazelcast","2c5344e31d351df944855791f3835ac048a4bd1e","hazelcast/src/main/java/com/hazelcast/map/MapServiceContextSupport.java","1","0","0","0","12","25","2"
"netty","b2399c2475db14c1038432129545845785a73563","transport-native-epoll/src/main/java/io/netty/channel/epoll/EpollRecvByteAllocatorHandle.java","1","0","0","0","12","32","1"
"hazelcast","3eeb1de0a2a25fd7b18a8fd2688ffc749bedad2e","hazelcast/src/main/java/com/hazelcast/spi/impl/executionservice/impl/CompletableFutureEntry.java","1","0","0","0","12","35","0"
"elasticsearch","6f996e9e26ae05440aa8d374d5cedcc3752ebfec","core/src/main/java/org/elasticsearch/tribe/TribeClientNode.java","1","0","0","0","12","38","0"
"elasticsearch","b49635539d929d6cb5ee56153e2f95872fe4bb16","modules/lang-painless/src/main/java/org/elasticsearch/painless/Analyzer.java","1","0","0","0","12","39","1"
"netty","075a54af3e607c20eeaf7809a2a08602abd5d735","transport-native-epoll/src/main/java/io/netty/channel/unix/ErrorsStaticallyReferencedJniMethods.java","1","0","0","0","12","42","0"
"hazelcast","623ff1855aa985aa276e8395aabf0b534c7a36c3","hazelcast-client/src/test/java/com/hazelcast/client/listeners/leak/ListenerLeakTestSmartRouting.java","1","0","0","0","120","169","0"
"neo4j","868b4d731485023d2f7477e1133dcd5b263c851d","community/lucene-index/src/test/java/org/neo4j/index/impl/lucene/CloseTrackingIndexReader.java","1","0","0","0","125","178","0"
"hazelcast","623ff1855aa985aa276e8395aabf0b534c7a36c3","hazelcast-client/src/test/java/com/hazelcast/client/listeners/leak/ListenerLeakTestNonSmartRouting.java","1","0","0","0","126","175","0"
"orientdb","d59e47612a51e132c8452d80410acaa016f63457","core/src/test/java/com/orientechnologies/orient/core/sql/method/misc/TestIterable.java","1","0","0","0","13","23","0"
"netty","c735b3e14762bdc45716371c11e65366ac1782f5","codec-http/src/main/java/io/netty/handler/codec/http/multipart/FileUploadUtil.java","1","0","0","0","13","34","0"
"hazelcast","44997b22cca35bc3413b8efefb61cff9a963e641","hazelcast/src/main/java/com/hazelcast/map/MapServiceContextSupport.java","1","0","0","0","13","39","1"
"hazelcast","10efc4f564876813e0cb3468ed6d425394a56aeb","hazelcast/src/main/java/com/hazelcast/map/impl/recordstore/RecordStoreLoader.java","1","0","0","0","13","44","0"
"hazelcast","b41c380408dfeedc51226f1456016d4c83056f11","hazelcast/src/main/java/com/hazelcast/map/impl/recordstore/RecordStoreLoader.java","1","0","0","0","13","45","0"
"netty","8c8779669e1acdd8307e5faafb7ca9b378348831","common/src/main/java/io/netty/util/internal/logging/Log4J2Logger.java","1","0","0","0","130","181","1"
"orientdb","39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/functions/LuceneSpatialMiscFunctionsTest.java","1","0","0","0","134","196","0"
"hazelcast","7df686c91c1063bde42dbb25980fb462349f941c","hazelcast-client/src/test/java/com/hazelcast/client/replicatedmap/ClientReplicatedMapListenerTest.java","1","0","0","0","138","174","0"
"hazelcast","9b11ae33e4d9354c27af31c3206476188bbf81f0","hazelcast-client/src/test/java/com/hazelcast/client/replicatedmap/ClientReplicatedMapListenerTest.java","1","0","0","0","139","176","1"
"hazelcast","b3226b60f9e49e2c4e3fd6062478f7f0d1f0ee81","hazelcast-client/src/test/java/com/hazelcast/client/partitionservice/ClientPartitionLostListenerTest.java","1","0","0","0","139","177","1"
"hazelcast","6dbf726f876f290ece21edcb4e37af996cecac9d","hazelcast/src/test/java/com/hazelcast/util/executor/TestExecutionCallback.java","1","0","0","0","14","35","0"
"hazelcast","6437712f7741046955fc4afa5d6f48565655155e","hazelcast/src/main/java/com/hazelcast/map/impl/eviction/RuntimeMemoryInfoAccessor.java","1","0","0","0","14","40","0"
"hazelcast","bb3ea0e107980d769862cdbda748cc91529d67b5","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientTransactionManagerService.java","1","0","0","0","14","48","0"
"elasticsearch","2bd09c4625898d77aa6c015c6f82cf973ed18cb7","core/src/main/java/org/elasticsearch/action/search/AbstractAsyncAction.java","1","0","0","0","14","51","0"
"elasticsearch","4b94eb5cb8cc4294ed0e932a5f22c16bd90d4dd7","core/src/main/java/org/elasticsearch/action/search/AbstractAsyncAction.java","1","0","0","0","15","53","2"
"elasticsearch","860efb2ad28db09189c8423e05d0dba53010259c","core/src/main/java/org/elasticsearch/action/search/AbstractAsyncAction.java","1","0","0","0","15","53","2"
"neo4j","0da6dae6f2ecbbab9a278f3757ef793cbe8d921f","enterprise/ha/src/main/java/org/neo4j/kernel/ha/cluster/DefaultMasterImplSPI.java","1","0","0","0","157","200","1"
"neo4j","d94daacb45225945a8ab3285f791f8ef58f943b0","enterprise/ha/src/main/java/org/neo4j/kernel/ha/cluster/DefaultMasterImplSPI.java","1","0","0","0","159","202","0"
"elasticsearch","889db1c824d8c573835e8cbadd0c6f3ba25f8fcd","src/test/java/org/elasticsearch/test/SettingsSource.java","1","0","0","0","16","45","1"
"netty","075a54af3e607c20eeaf7809a2a08602abd5d735","transport-native-epoll/src/main/java/io/netty/channel/epoll/NativeStaticallyReferencedJniMethods.java","1","0","0","0","16","46","0"
"hazelcast","5d9345d0e7f6a373bf80d27b2bf94fc798934378","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientExecutionService.java","1","0","0","0","16","47","1"
"hazelcast","8e9847dc69afe328731c5c790e444e18153a388a","hazelcast/src/main/java/com/hazelcast/cardinality/impl/hyperloglog/impl/HyperLogLogEncoding.java","1","0","0","0","16","47","1"
"hazelcast","c90ac3fa538c72581d95d70f8a1c4d772e6253e0","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientExecutionService.java","1","0","0","0","16","47","2"
"hazelcast","d0fd18cd0e2fac83d47776ccc1f08639bfc9823f","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientExecutionService.java","1","0","0","0","16","55","1"
"hazelcast","bf2d64e6c2d1fa8c279c6ea3e7d37f0ae6f6f3a8","hazelcast-client/src/test/java/com/hazelcast/client/replicatedmap/ClientReplicatedMapListenerTest.java","1","0","0","0","168","209","0"
"hazelcast","e58af528ad4f02b2dd8ce13dcf52e95fbab0cc72","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientClusterService.java","1","0","0","0","17","94","1"
"hazelcast","9edfab7f3f59aa6703b54c44ea249fa6da524874","hazelcast/src/main/java/com/hazelcast/map/impl/operation/MapOperationProviderDelegator.java","1","0","0","0","178","245","0"
"hazelcast","c283f04cab711308ed3018d4e448e35b9061e0d2","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientClusterService.java","1","0","0","0","18","101","0"
"hazelcast","c942da1755b0c0fa5275412cf96596dd88d92151","hazelcast-client/src/main/java/com/hazelcast/client/spi/ClientClusterService.java","1","0","0","0","18","101","0"
"hazelcast","4e7ff47186f2745b07ed2501acc0f5add899d5b8","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/map/AbstractMapAllPartitionsMessageTask.java","1","0","0","0","18","39","1"
"hazelcast","93e632d218ab941646a42cfba0d56c60d5d1257d","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/map/AbstractMapAllPartitionsMessageTask.java","1","0","0","0","18","39","1"
"hazelcast","87aeb79871119fcbda01ed2973b79abb0055269b","hazelcast-client/src/test/java/com/hazelcast/client/config/XmlClientConfigImportVariableReplacementTest.java","1","0","0","0","182","231","0"
"orientdb","39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/LuceneSpatialIOTest.java","1","0","0","0","186","274","0"
"hazelcast","7001ec8c5b1305c796de75c2e3f170c562db8c03","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/map/AbstractMapAllPartitionsMessageTask.java","1","0","0","0","19","41","0"
"netty","32231ee2e05e2979e4c76220945b99c6712fd582","transport-native-epoll/src/main/java/io/netty/channel/epoll/EpollRecvByteAllocatorHandle.java","1","0","0","0","19","41","0"
"netty","31b319a5dc531d8c02c400d312ab9e85e90e614b","src/main/java/org/jboss/netty/channel/socket/nio/NioAcceptedSocketChannel.java","1","0","0","0","19","52","1"
"netty","56462ef91a6481c2926dbebadebc114c08a81a8b","src/main/java/org/jboss/netty/channel/socket/nio/NioAcceptedSocketChannel.java","1","0","0","0","19","52","1"
"elasticsearch","371c73e14023917f3892090d2d3d7ff9ac1216b9","core/src/main/java/org/elasticsearch/common/RandomBasedUUIDGenerator.java","1","0","0","0","19","61","3"
"elasticsearch","78574d248cf10dad1c5a566fda79e1e0c94afe43","core/src/main/java/org/elasticsearch/common/RandomBasedUUIDGenerator.java","1","0","0","0","19","61","2"
"elasticsearch","12471c4f76636f837df363e55367c2fc5837ea75","client/rest/src/main/java/org/elasticsearch/client/HttpAsyncResponseConsumerFactory.java","1","0","0","0","19","66","2"
"hazelcast","a9525037283b683e9cc4c494078091eca10daf62","hazelcast-client/src/test/java/com/hazelcast/client/config/XmlClientConfigImportVariableReplacementTest.java","1","0","0","0","196","248","1"
"hazelcast","82914ab681f7a556333505b597bf2ed1e7da9f30","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/mapreduce/package-info.java","1","0","0","0","2","23","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/list/package-info.java","1","0","0","0","2","23","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/cache/package-info.java","1","0","0","0","2","23","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/atomicreference/package-info.java","1","0","0","0","2","24","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/condition/package-info.java","1","0","0","0","2","24","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/countdownlatch/package-info.java","1","0","0","0","2","24","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/atomiclong/package-info.java","1","0","0","0","2","24","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/executorservice/package-info.java","1","0","0","0","2","24","0"
"oryx","d16f89b25fc5e12f94af6432274c66e0394c1743","app/oryx-app-mllib/src/main/java/com/cloudera/oryx/app/batch/mllib/als/EnqueueFeatureVecsFn.java","1","0","0","0","20","44","0"
"neo4j","4e13feaa5058f4f1b623704bbde288b5850c1ec6","enterprise/security/src/test/java/org/neo4j/commandline/admin/security/RolesCommandTestBase.java","1","0","0","0","20","45","0"
"hazelcast","f295320580a557b2609ec22ae2abe788b0110bb3","hazelcast/src/test/java/com/hazelcast/osgi/TestServiceRegistration.java","1","0","0","0","21","46","0"
"hazelcast","3f46545bdca45f33e9257a896121007a1569235f","hazelcast/src/test/java/com/hazelcast/osgi/TestServiceRegistration.java","1","0","0","0","21","47","1"
"hazelcast","3e9f0a4fe67f397b79d6244ff49cfc7cec656c1d","hazelcast/src/test/java/com/hazelcast/test/mocknetwork/StaticAddressPicker.java","1","0","0","0","21","48","0"
"elasticsearch","3d13c27fa0df12018f35f1b20987c90277e9b6f9","core/src/main/java/org/elasticsearch/index/engine/DeleteVersionValue.java","1","0","0","0","21","49","1"
"hazelcast","e641541f77808713a214b6d1b4ef4d58497824f1","hazelcast/src/main/java/com/hazelcast/spi/impl/executionservice/impl/DelegatingTaskDecorator.java","1","0","0","0","21","54","0"
"elasticsearch","e54dd688a1c5c78a2637b7ab264f6eabc0352985","src/main/java/org/elasticsearch/bootstrap/JNACLibrary.java","1","0","0","0","21","54","0"
"netty","aab89b058e2e31fb50f5df98325dc40db61fbced","handler/src/test/java/io/netty/handler/ssl/Java8SslTestUtils.java","1","0","0","0","22","45","0"
"neo4j","21dc057a8a68245281a22d7bdb8da5ae2103f057","enterprise/core-edge/src/main/java/org/neo4j/coreedge/raft/net/ReplicatedLockTokenSerializer.java","1","0","0","0","22","47","0"
"elasticsearch","af119dfdd95667ea9d92de8e644448fbdc285b4f","src/main/java/org/elasticsearch/index/engine/internal/DeleteVersionValue.java","1","0","0","0","22","50","0"
"elasticsearch","25fd9e26c4fb042d6f6dea14efcd239577bdbbc4","client/rest/src/test/java/org/elasticsearch/client/HostsTrackingFailureListener.java","1","0","0","0","22","51","0"
"elasticsearch","56cc87b7ccd41040d8fafcaf2da3680d96d10839","client/rest/src/test/java/org/elasticsearch/client/HostsTrackingFailureListener.java","1","0","0","0","22","51","0"
"elasticsearch","b5f86f6f0544a9ad9fa4ab88bf7397cf361d696a","core/src/main/java/org/elasticsearch/index/engine/DeleteVersionValue.java","1","0","0","0","22","52","0"
"elasticsearch","371c73e14023917f3892090d2d3d7ff9ac1216b9","core/src/main/java/org/elasticsearch/action/search/ParsedScrollId.java","1","0","0","0","22","55","3"
"elasticsearch","78574d248cf10dad1c5a566fda79e1e0c94afe43","core/src/main/java/org/elasticsearch/action/search/ParsedScrollId.java","1","0","0","0","22","55","2"
"hazelcast","8bccd78b8bd69738aa620adeef1b61025baca895","hazelcast/src/main/java/com/hazelcast/internal/metrics/impl/SortedProbesInstances.java","1","0","0","0","22","57","1"
"hazelcast","ccbfb3fe4f981f5a73b2b381cfe404b417c74caa","hazelcast-spring/src/main/java/com/hazelcast/spring/transaction/TransactionContextHolder.java","1","0","0","0","22","57","1"
"hazelcast","a23961641da88700aa81802d84a4388b155f8753","hazelcast-spring/src/main/java/com/hazelcast/spring/transaction/TransactionContextHolder.java","1","0","0","0","22","58","0"
"hazelcast","733a21722fc9a7b4cd5109fbcf9019bcc1377584","hazelcast/src/main/java/com/hazelcast/map/impl/record/ObjectRecordWithStats.java","1","0","0","0","23","47","0"
"hazelcast","733a21722fc9a7b4cd5109fbcf9019bcc1377584","hazelcast/src/main/java/com/hazelcast/map/impl/record/ObjectRecord.java","1","0","0","0","23","48","0"
"hazelcast","1db7424d387f04d32e0bea688b1d0337c6f88c11","hazelcast-client/src/test/java/com/hazelcast/client/quorum/ClientTransactionalMapQuorumTest.java","1","0","0","0","231","288","2"
"hazelcast","7db53c0a19c56ae9c88038c5bf9e46075c9213e0","hazelcast-client/src/test/java/com/hazelcast/client/quorum/ClientTransactionalMapQuorumTest.java","1","0","0","0","233","290","2"
"elasticsearch","149629fec657e9948488195087f30583cd561f11","core/src/main/java/org/elasticsearch/action/search/SearchActionListener.java","1","0","0","0","24","53","0"
"orientdb","f05390b3bc41366ae0ee7f0d09d30d4e315bd8df","core/src/main/java/com/orientechnologies/common/directmemory/ODirectMemoryFactory.java","1","0","0","0","24","56","1"
"hazelcast","a9758d3446f37660f56809129c58192c034cefdb","hazelcast/src/main/java/com/hazelcast/map/RecordStoreLoader.java","1","0","0","0","24","60","2"
"junit","561a736d4400c32a608a6ee97424c20ca70bf8ae","src/test/java/org/junit/tests/experimental/rules/LoggingTestWatcher.java","1","0","0","0","25","32","0"
"hazelcast","d3e09e369981a387ee9d6890e981c80104bd5ab7","hazelcast-client/src/main/java/com/hazelcast/client/proxy/ClientIdGeneratorProxy.java","1","0","0","0","25","50","1"
"neo4j","7b890cea4f0be50e697d6ba272edb6b74b84e373","community/security/src/test/java/org/neo4j/commandline/admin/security/UsersCommandTestBase.java","1","0","0","0","25","52","1"
"elasticsearch","952feb58e41bd0220784c44136b840ea4a740e26","core/src/main/java/org/elasticsearch/search/aggregations/bucket/terms/AbstractStringTermsAggregator.java","1","0","0","0","25","53","1"
"elasticsearch","087a931cb2ecbae34c4fc87924400c9b6bbd8a41","core/src/main/java/org/elasticsearch/common/util/AbstractArray.java","1","0","0","0","25","54","1"
"hazelcast","ffe9301db5174bd688cf5f986f7078484fa6cef7","hazelcast/src/main/java/com/hazelcast/nio/serialization/PortableContextAwareInputStream.java","1","0","0","0","25","57","0"
"oryx","d16f89b25fc5e12f94af6432274c66e0394c1743","app/oryx-app-mllib/src/main/java/com/cloudera/oryx/app/batch/mllib/als/EnqueueFeatureVecsAndKnownItemsFn.java","1","0","0","0","26","50","0"
"neo4j","4e13feaa5058f4f1b623704bbde288b5850c1ec6","community/security/src/test/java/org/neo4j/commandline/admin/security/UsersCommandTestBase.java","1","0","0","0","26","53","0"
"hazelcast","5c695f915d3d5ec0116cccdbde70b3551f5dcb5a","hazelcast-client/src/test/java/com/hazelcast/client/cache/ClientCacheIteratorTest.java","1","0","0","0","26","53","0"
"elasticsearch","e7d352b489272a87b05019869857656de7fb82fc","core/src/main/java/org/elasticsearch/search/aggregations/bucket/terms/AbstractStringTermsAggregator.java","1","0","0","0","26","54","0"
"hazelcast","39091ff574efe84ae6a3d772a1b7cfce80f4f2e0","hazelcast/src/main/java/com/hazelcast/client/ClientRequest.java","1","0","0","0","26","59","0"
"elasticsearch","3f06d9f3b8516bb30a2890a36c2973f08f9c6076","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/ECast.java","1","0","0","0","26","59","0"
"netty","220d95fe0d396821f08329fffd96edc1b47c37c1","src/main/java/org/jboss/netty/channel/socket/nio/NioAcceptedSocketChannel.java","1","0","0","0","26","59","0"
"hazelcast","14520904ee7fad852e9c147f7ec2ed6d515f6321","hazelcast/src/main/java/com/hazelcast/map/impl/record/ObjectRecordWithStats.java","1","0","0","0","27","52","1"
"hazelcast","14520904ee7fad852e9c147f7ec2ed6d515f6321","hazelcast/src/main/java/com/hazelcast/map/impl/record/ObjectRecord.java","1","0","0","0","27","53","1"
"hazelcast","49bc95f245df5503b44ba497a51ae534883f2f4f","hazelcast-client/src/test/java/com/hazelcast/client/cache/ClientCacheIteratorTest.java","1","0","0","0","27","54","1"
"hazelcast","7c83a64f2156adb88a1d03e4793c9bccd4a77869","hazelcast/src/main/java/com/hazelcast/cache/impl/CacheDistributedObject.java","1","0","0","0","27","55","1"
"hazelcast","733a21722fc9a7b4cd5109fbcf9019bcc1377584","hazelcast/src/main/java/com/hazelcast/map/impl/record/CachedDataRecordWithStats.java","1","0","0","0","27","56","0"
