LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
10,5,0,5,3,1,1,22,25.02,18.0,8106.33,0.15,108,0.06,450.35,450.35,45,63,10,8,22,N
4,9,0,0,5,3,1,25,21.96,15.88,5539.63,0.12,68,0.06,307.76,348.79,30,38,17,18,31,N
1,3,0,0,2,2,1,6,5.89,7.0,288.46,0.01,13,0.14,16.03,41.21,4,9,2,7,6,N
0,1,0,0,1,1,1,6,22.59,2.86,184.37,0.02,18,0.35,10.24,64.53,8,10,7,5,6,N
1,11,0,0,6,2,6,12,12.67,21.85,6050.37,0.09,57,0.05,336.13,276.9,23,34,10,19,12,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
0,1,1,0,1,1,1,1,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,3,5,3,5,2,N
2,9,6,0,5,1,1,14,23.12,11.15,2875.94,0.09,57,0.09,159.77,257.83,29,28,13,10,20,N
2,3,0,1,2,1,1,18,20.37,7.0,998.37,0.05,33,0.14,55.46,142.62,21,12,12,8,18,Y
2,3,2,0,2,1,1,7,16.73,5.5,506.0,0.03,23,0.18,28.11,92.0,11,12,8,8,9,N
5,9,0,5,5,5,5,42,54.46,20.08,21961.5,0.36,198,0.05,1220.08,1093.67,83,115,31,15,54,N
0,1,0,0,1,1,1,3,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,3,8,3,7,3,N
1,5,0,0,3,2,1,6,17.34,8.25,1180.25,0.05,35,0.12,65.57,143.06,9,26,6,11,6,N
1,7,0,0,4,1,1,3,16.58,4.8,381.92,0.03,23,0.21,21.22,79.57,8,15,5,6,3,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
18,18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,1363.25,99,139,27,26,81,N
0,1,0,0,1,1,1,2,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,N
0,3,5,18,2,1,1,2,16.75,7.5,942.32,0.04,33,0.13,52.35,125.64,15,18,7,7,7,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
17,7,0,21,4,4,1,44,33.53,50.43,85301.8,0.56,320,0.02,4738.99,1691.33,145,175,23,16,44,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,0,N
22,37,0,0,19,15,8,89,53.35,34.59,63844.18,0.62,327,0.03,3546.9,1845.54,123,204,32,18,113,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,N
0,5,7,1,3,2,1,3,12.0,8.33,833.33,0.03,25,0.12,46.3,100.0,10,15,6,10,10,N
0,1,0,0,1,1,1,2,11.07,3.0,99.66,0.01,10,0.33,5.54,33.22,4,6,4,6,2,N
14,9,0,1,5,5,1,151,144.81,38.29,212301.39,1.85,852,0.03,11794.52,5544.64,388,464,76,15,168,Y
0,1,0,0,1,1,1,5,8.45,0.75,4.75,0.0,4,1.33,0.26,6.34,3,1,2,1,5,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
0,1,0,0,1,1,1,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,0,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
0,1,1,0,1,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
5,13,1,2,7,7,6,50,42.58,18.0,13794.44,0.26,144,0.06,766.36,766.36,44,100,22,18,61,N
2,3,1,0,2,1,1,6,11.71,4.9,281.06,0.02,16,0.2,15.61,57.36,7,9,5,7,7,N
0,1,0,0,1,1,1,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,0,N
0,1,0,0,1,1,1,3,13.0,3.0,117.0,0.01,13,0.33,6.5,39.0,6,7,4,4,3,N
0,1,0,0,1,1,1,2,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,2,6,2,6,2,N
0,1,1,0,1,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
24,15,7,14,8,7,4,54,75.27,22.24,37216.01,0.56,274,0.04,2067.56,1673.74,126,148,51,18,61,N
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
0,1,1,2,1,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
1,5,0,0,3,1,3,10,9.45,11.0,1144.0,0.03,26,0.09,63.56,104.0,10,16,5,11,13,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
0,1,2,0,1,1,1,1,11.18,5.63,353.85,0.02,17,0.18,19.66,62.91,5,12,4,9,3,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
29,7,10,30,4,4,1,31,90.42,23.23,48777.92,0.7,392,0.04,2709.88,2100.16,144,248,31,10,41,Y
0,1,1,0,1,1,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,2,N
2,1,0,0,1,1,1,7,23.77,6.55,1018.4,0.05,36,0.15,56.58,155.59,16,20,11,9,11,N
9,11,0,0,6,3,1,21,34.68,21.58,16147.85,0.25,134,0.05,897.1,748.38,51,83,26,22,21,N
0,3,2,0,2,2,1,1,6.04,5.25,166.42,0.01,10,0.19,9.25,31.7,3,7,2,7,3,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
3,3,0,0,2,2,1,7,18.55,5.69,599.95,0.04,27,0.18,33.33,105.49,13,14,8,7,12,N
1,3,0,0,2,2,1,4,25.32,5.6,793.95,0.05,34,0.18,44.11,141.78,14,20,10,8,7,N
1,1,0,0,1,1,1,4,15.5,3.0,139.52,0.02,14,0.33,7.75,46.51,6,8,5,5,7,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
10,5,0,0,3,3,1,17,27.85,13.33,4951.8,0.12,73,0.08,275.1,371.38,30,43,18,16,17,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,3,0,0,2,1,1,6,12.68,2.5,79.25,0.01,10,0.4,4.4,31.7,4,6,4,5,6,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
0,1,0,0,1,1,1,3,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,3,N
0,1,2,0,1,1,1,1,9.49,3.5,116.27,0.01,10,0.29,6.46,33.22,3,7,3,7,3,N
4,7,0,8,4,4,1,23,30.46,12.92,5082.23,0.13,78,0.08,282.35,393.46,31,47,18,15,37,N
0,1,0,0,1,1,1,0,10.68,4.67,232.53,0.02,15,0.21,12.92,49.83,4,11,3,7,0,N
0,1,0,0,1,1,1,6,23.69,4.5,479.73,0.04,28,0.22,26.65,106.61,12,16,8,6,6,N
15,1,9,4,1,1,1,4,75.81,2.65,531.2,0.07,45,0.38,29.51,200.67,18,27,17,5,13,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
1,1,0,4,1,1,1,4,11.95,4.2,210.8,0.02,14,0.24,11.71,50.19,6,8,5,7,11,N
0,1,1,0,1,1,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,N
7,9,2,0,5,2,4,7,13.09,18.67,4559.75,0.08,54,0.05,253.32,244.27,24,30,9,14,9,N
1,1,0,0,1,1,1,4,30.79,3.85,456.37,0.04,29,0.26,25.35,118.54,11,18,10,7,9,N
0,5,8,1,3,3,1,3,13.21,17.1,3863.67,0.08,47,0.06,214.65,225.95,19,28,10,18,11,N
3,1,0,0,1,1,1,2,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,2,N
0,3,0,0,2,2,1,4,21.5,7.15,1099.18,0.05,35,0.14,61.07,153.73,13,22,10,11,4,N
4,3,0,4,2,2,1,10,20.22,5.14,534.86,0.03,26,0.19,29.71,104.0,8,18,7,9,20,N
15,3,6,8,2,2,1,31,36.01,29.66,31674.07,0.36,205,0.03,1759.67,1067.94,87,118,22,15,37,N
0,1,0,0,1,1,1,2,7.49,3.0,67.38,0.01,8,0.33,3.74,22.46,1,7,1,6,2,N
2,1,0,0,1,1,1,15,2.14,7.0,105.0,0.01,15,0.14,5.83,15.0,14,1,1,1,15,N
1,5,1,0,3,2,3,8,18.54,9.27,1593.94,0.06,38,0.11,88.55,171.9,17,21,11,12,12,N
24,1,0,0,1,1,1,14,40.49,6.62,1773.03,0.09,57,0.15,98.5,267.93,25,32,17,9,14,N
0,1,1,0,1,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
3,5,2,1,3,3,1,8,18.05,12.09,2638.98,0.07,47,0.08,146.61,218.26,19,28,11,14,10,N
2,3,0,0,2,1,1,13,25.75,13.09,4413.08,0.11,78,0.08,245.17,337.11,32,46,11,9,17,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
1,3,0,0,2,2,1,9,16.12,4.0,258.12,0.02,18,0.25,14.34,64.53,8,10,6,6,12,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
5,11,0,5,6,1,1,27,21.74,36.66,29215.55,0.27,158,0.03,1623.09,797.01,69,89,16,17,42,N
3,7,0,0,4,4,1,26,41.09,15.68,10095.41,0.21,130,0.06,560.86,644.05,57,73,20,11,31,N
9,11,0,0,4,1,1,34,66.72,11.72,9171.08,0.26,148,0.09,509.5,782.24,91,103,35,11,45,N
0,7,0,0,4,2,3,9,14.32,7.71,852.01,0.04,26,0.13,47.33,110.45,9,17,7,12,12,N
9,7,0,3,4,3,3,16,23.57,16.39,6334.65,0.13,78,0.06,351.92,386.43,27,51,14,17,16,N
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,N
0,3,0,0,2,2,1,8,23.46,10.29,2485.24,0.08,52,0.1,138.07,241.48,19,33,12,13,8,N
0,3,0,0,2,1,1,5,13.95,2.5,87.17,0.01,11,0.4,4.84,34.87,4,7,4,5,5,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,N
0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,N
2,15,1,1,8,7,8,21,31.87,13.13,5489.4,0.14,87,0.08,304.97,418.24,35,52,16,12,27,N
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
0,1,2,2,1,1,1,1,14.28,4.0,228.44,0.02,15,0.25,12.69,57.11,6,9,6,8,3,N
4,3,0,2,2,2,1,10,27.85,5.09,721.78,0.05,34,0.2,40.1,141.78,16,18,11,7,18,N
2,1,0,0,1,1,1,7,17.94,6.75,817.52,0.04,31,0.15,45.42,121.11,9,22,6,9,7,N
0,1,2,0,1,1,1,1,6.74,3.75,94.75,0.01,9,0.27,5.26,25.27,3,6,2,5,3,N
2,5,0,0,3,1,1,5,9.6,9.17,806.67,0.03,22,0.11,44.81,88.0,11,11,6,10,5,N
0,3,0,0,2,2,1,3,14.28,4.0,228.44,0.02,15,0.25,12.69,57.11,6,9,6,8,3,N
8,1,2,0,1,1,1,8,23.02,3.86,342.55,0.03,24,0.26,19.03,88.81,9,15,7,6,10,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,N
0,1,0,0,1,1,1,0,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,3,5,3,5,0,N
2,3,0,1,2,2,1,9,24.06,5.2,650.51,0.04,30,0.19,36.14,125.1,13,17,10,8,15,N
0,1,0,0,1,1,1,2,9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,2,7,2,6,2,N
4,10,1,1,9,2,1,21,45.03,21.02,19886.07,0.32,166,0.05,1104.78,946.27,73,93,33,19,22,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
6,3,0,5,2,2,1,14,69.33,7.15,3540.19,0.17,100,0.14,196.68,495.42,49,51,24,7,27,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,0,0,1,1,1,0,9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,2,7,2,6,0,N
0,1,0,0,1,1,1,2,9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,2,7,2,6,2,N
24,3,0,19,2,2,1,46,113.29,14.34,23292.68,0.54,260,0.07,1294.04,1624.46,127,133,62,14,91,Y
0,9,0,0,5,3,4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,44,Y
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
0,1,0,0,1,1,1,2,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,3,4,3,4,4,N
4,5,0,0,3,3,1,18,37.87,9.16,3175.9,0.12,70,0.11,176.44,346.79,29,41,19,12,24,N
0,1,0,0,1,1,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1,4,1,4,0,N
0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,N
1,3,0,0,2,1,1,4,16.65,4.0,266.43,0.02,18,0.25,14.8,66.61,5,13,5,8,4,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,0,N
9,7,0,0,4,3,1,39,19.52,44.25,38214.86,0.29,176,0.02,2123.05,863.61,59,117,12,18,50,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,0,0,1,1,1,0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,0,N
0,1,0,0,1,1,1,3,30.67,3.0,276.0,0.03,23,0.33,15.33,92.0,10,13,10,6,3,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,N
0,1,0,0,1,1,1,2,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
2,3,5,0,2,2,1,5,13.96,6.0,502.57,0.03,22,0.17,27.92,83.76,9,13,6,8,10,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
34,81,10,77,41,7,28,483,53.83,183.04,1803408.58,3.28,1839,0.01,100189.37,9852.54,572,1267,25,16,493,Y
1,13,0,0,7,1,7,14,13.22,24.75,8095.49,0.11,77,0.04,449.75,327.09,36,41,8,11,15,N
0,1,0,0,1,1,1,2,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,1,4,1,1,1,1,11.24,4.0,179.89,0.01,13,0.25,9.99,44.97,3,10,3,8,2,N
0,3,4,0,2,2,1,3,7.35,8.0,470.48,0.02,17,0.13,26.14,58.81,6,11,3,8,7,N
0,1,1,0,1,1,1,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,2,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,2,0,2,0,0,N
0,1,0,0,1,1,1,0,13.5,2.0,54.0,0.01,9,0.5,3.0,27.0,4,5,4,4,0,N
0,1,0,0,1,1,1,5,17.43,2.0,69.74,0.01,11,0.5,3.87,34.87,5,6,5,4,5,Y
17,29,19,53,15,1,9,50,50.79,25.26,32401.84,0.43,219,0.04,1800.1,1282.9,89,130,37,21,69,N
3,1,0,0,1,1,1,2,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,2,N
0,1,0,0,1,1,1,0,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1,6,1,6,0,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,4,N
12,41,2,52,22,1,12,84,40.07,41.81,70041.8,0.56,286,0.02,3891.21,1675.38,96,190,31,27,86,Y
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,N
0,5,0,0,3,2,3,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,57,Y
0,1,0,0,1,1,1,2,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,3,4,3,4,4,N
0,1,1,0,1,1,1,1,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,2,5,2,5,2,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,0,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
24,24,3,17,20,1,1,91,65.56,23.68,36775.64,0.52,241,0.04,2043.09,1552.75,90,151,57,30,94,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
2,3,2,0,2,1,1,6,14.43,5.14,381.76,0.02,19,0.19,21.21,74.23,9,10,7,8,8,N
6,24,0,5,19,3,4,43,49.79,27.19,36801.7,0.45,216,0.04,2044.54,1353.63,90,126,48,29,43,N
36,69,5,18,38,12,1,231,161.36,45.73,337457.65,2.46,970,0.02,18747.65,7379.11,449,521,162,33,236,Y
0,1,1,0,1,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,0,0,1,1,1,0,6.55,3.0,58.95,0.01,7,0.33,3.28,19.65,1,6,1,6,0,N
0,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,1,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,0,N
0,5,0,0,3,3,1,9,19.11,8.4,1348.53,0.05,36,0.12,74.92,160.54,14,22,10,12,11,Y
0,1,0,0,1,1,1,2,9.83,2.0,39.3,0.01,7,0.5,2.18,19.65,3,4,3,4,4,N
0,1,0,0,1,1,1,2,9.0,3.0,81.0,0.01,9,0.33,4.5,27.0,2,7,2,6,2,N
0,5,0,0,3,2,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,92,N
2,3,1,1,2,2,1,24,32.54,13.33,5784.24,0.14,86,0.08,321.35,433.82,32,54,18,15,30,Y
14,11,0,14,6,1,1,29,42.97,21.15,19213.78,0.3,161,0.05,1067.43,908.66,69,92,31,19,29,N
0,1,1,2,1,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,4,N
0,5,7,0,3,1,1,2,12.87,8.75,985.14,0.04,27,0.11,54.73,112.59,14,13,8,10,9,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,0,N
0,5,0,0,3,2,3,10,19.09,17.86,6086.79,0.11,67,0.06,338.15,340.86,25,42,14,20,10,N
12,41,2,23,21,5,13,51,61.88,17.84,19691.48,0.37,201,0.06,1093.97,1103.86,79,122,31,14,53,N
1,11,0,12,6,5,5,19,21.23,11.38,2746.84,0.08,52,0.09,152.6,241.48,21,31,12,13,32,N
2,5,1,1,3,3,1,14,33.76,11.7,4621.5,0.13,79,0.09,256.75,395.0,39,40,20,12,15,N
0,3,0,0,2,2,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,14,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
2,3,1,0,2,1,1,5,10.95,6.0,394.38,0.02,19,0.17,21.91,65.73,10,9,5,6,6,N
